id	sentence	user	fileName	sample	time	vote
022Bgg06giNtYdeKfvOs	eRBPHg3VacjjQeLRN1vB	2dEDqqeI3PZx0m2D9EBHUn7noTM2	audio/cd7ec9d9-adb4-45d8-a299-a631e3252991.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2Fcd7ec9d9-adb4-45d8-a299-a631e3252991.webm?alt=media&token=a3beee7c-dcec-41dc-a6f1-5b6017ffca0b	1573228579118	10
06o5F5pl9YRbHpSGQTKT	tQoJUX0JnMgsAnVOKfZw	2dEDqqeI3PZx0m2D9EBHUn7noTM2	audio/a21ab006-57bd-485e-bc3c-e5aa70e02575.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2Fa21ab006-57bd-485e-bc3c-e5aa70e02575.webm?alt=media&token=e289c507-5d87-45a8-b82a-c1fe9b66f262	1573229287922	12
0Gbc6JQLVd6ah2P5Nz0D	2hkQEfpIiHauS7txxAH7	6FzGR8AJFJSEml6AIs55fEgJmqX2	audio/3f6ec7ce-e480-49ba-b53f-29990a3918e7.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F3f6ec7ce-e480-49ba-b53f-29990a3918e7.webm?alt=media&token=2d7f29c9-0afe-4eae-95df-71b11843fa82	1572600034618	30
0I2iIh7OSMdWhvb85tMp	5FiRVyH58OhlpIak6NCX	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	audio/63a28877-988f-4f87-a6dd-f0d2b5c24944.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F63a28877-988f-4f87-a6dd-f0d2b5c24944.webm?alt=media&token=9cc6e0a9-c246-4141-9437-21ccb109482e	1572577161778	42
0ORkYkCfn3KmuaCFHdJq	1iOh0HyHqHvssHEcZ3pk	UeFeCIz2fITaMREZCYg5tNEGR8A3	audio/2aa1be40-57e6-40b2-b449-e863aa0f7b9e.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F2aa1be40-57e6-40b2-b449-e863aa0f7b9e.webm?alt=media&token=289d8f65-3636-4082-a4ca-4778c3ca53a4	1572578934222	-3
0PJKVqJsCFeIHKeeIgJ5	xGIkDQ5ALFjD3yTm9e9U	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	audio/1fa2ebd9-e49f-4d73-b4d0-6c8a69a88217.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F1fa2ebd9-e49f-4d73-b4d0-6c8a69a88217.webm?alt=media&token=1039a20e-0193-4227-b4ba-3ccfd11f1ffc	1572581886672	27
0RmmAqp4JGYBLKBorjmJ	aoHz4cfA70SuAGHrQkvT	L2VjTEBUwJVobWfHy9wPZo0C7EQ2	audio/b4f93af9-8131-43ca-9ddf-b754656b3353.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2Fb4f93af9-8131-43ca-9ddf-b754656b3353.webm?alt=media&token=57da4ef7-51f7-438a-a7e4-bb551086351d	1574011584625	1
0V8iGje3ybWQOdzpodHI	4rIaKO0jatDBHYo7mxF6	DKsIblxQIsWAb6JwK5L4nVNys3v1	audio/52c2172e-6bc2-4254-9bc7-74456b594d45.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F52c2172e-6bc2-4254-9bc7-74456b594d45.webm?alt=media&token=2c702576-4cea-4fd6-8258-ed9dc754d212	1572772939347	8
0WTsBT8bYyLzb9mVDkEb	DbSMDtFmnAj1jCMGYb8b	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	audio/b1b8f56c-7f2c-437d-972e-38d0c0720a5e.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2Fb1b8f56c-7f2c-437d-972e-38d0c0720a5e.webm?alt=media&token=bd63ce0e-af49-4b6b-9ca8-5766fafecf63	1572577563243	24
0gf966MgLIrpMGkLAkBY	53LE9U5cJYbDQx8lqKxo	UeFeCIz2fITaMREZCYg5tNEGR8A3	audio/2174d988-2770-4f1d-8d73-d1ae18680b7c.webm	https://firebasestorage.googleapis.com/v0/b/malayalam-speech-corpora.appspot.com/o/audio%2F2174d988-2770-4f1d-8d73-d1ae18680b7c.webm?alt=media&token=773f3c95-cc06-4dac-9bcf-bbb82db535a1	1572579113768	-16
